location,index,count
1,2020-04-06 00:35:00,1
1,2020-04-06 01:20:00,0
1,2020-04-06 01:25:00,0
1,2020-04-06 01:35:00,1
1,2020-04-06 02:00:00,0
1,2020-04-06 02:15:00,2
1,2020-04-06 02:20:00,0
1,2020-04-06 02:25:00,2
1,2020-04-06 02:30:00,0
1,2020-04-06 03:00:00,0
1,2020-04-06 03:05:00,1
1,2020-04-06 03:50:00,0
1,2020-04-06 04:15:00,1
1,2020-04-06 04:40:00,0
1,2020-04-06 05:20:00,1
1,2020-04-06 06:25:00,0
1,2020-04-06 06:30:00,1
1,2020-04-06 06:40:00,0
1,2020-04-06 06:50:00,0
1,2020-04-06 07:00:00,0
1,2020-04-06 07:15:00,0
1,2020-04-06 07:40:00,0
1,2020-04-06 08:05:00,0
1,2020-04-06 08:20:00,1
1,2020-04-06 08:30:00,0
1,2020-04-06 09:15:00,0
1,2020-04-06 09:35:00,0
1,2020-04-06 09:45:00,0
1,2020-04-06 10:00:00,0
1,2020-04-06 10:25:00,0
1,2020-04-06 10:45:00,1
1,2020-04-06 11:15:00,0
1,2020-04-06 11:30:00,1
1,2020-04-06 11:40:00,1
1,2020-04-06 11:45:00,0
1,2020-04-06 12:00:00,0
1,2020-04-06 12:15:00,0
1,2020-04-06 13:15:00,0
1,2020-04-06 14:05:00,0
1,2020-04-06 14:10:00,1
1,2020-04-06 14:15:00,0
1,2020-04-06 14:25:00,0
1,2020-04-06 14:35:00,0
1,2020-04-06 14:45:00,0
1,2020-04-06 14:50:00,0
1,2020-04-06 15:10:00,0
1,2020-04-06 15:30:00,1
1,2020-04-06 15:40:00,0
1,2020-04-06 15:45:00,0
1,2020-04-06 15:50:00,0
1,2020-04-06 15:55:00,0
1,2020-04-06 16:00:00,0
1,2020-04-06 16:05:00,0
1,2020-04-06 16:10:00,0
1,2020-04-06 16:15:00,1
1,2020-04-06 16:20:00,0
1,2020-04-06 16:25:00,0
1,2020-04-06 16:30:00,0
1,2020-04-06 16:35:00,0
1,2020-04-06 16:40:00,0
1,2020-04-06 16:50:00,0
1,2020-04-06 16:55:00,0
1,2020-04-06 17:10:00,0
1,2020-04-06 17:25:00,0
1,2020-04-06 17:30:00,0
1,2020-04-06 17:40:00,0
1,2020-04-06 17:45:00,1
1,2020-04-06 17:50:00,0
1,2020-04-06 17:55:00,0
1,2020-04-06 18:05:00,0
1,2020-04-06 19:05:00,0
1,2020-04-06 19:15:00,1
1,2020-04-06 19:20:00,1
1,2020-04-06 19:30:00,0
1,2020-04-06 19:45:00,0
1,2020-04-06 20:35:00,0
1,2020-04-06 20:45:00,0
1,2020-04-06 21:35:00,1
1,2020-04-06 21:45:00,0
1,2020-04-06 22:00:00,1
1,2020-04-06 22:15:00,1
1,2020-04-06 22:20:00,1
1,2020-04-06 22:25:00,0
1,2020-04-06 22:45:00,1
1,2020-04-06 23:35:00,0
1,2020-04-06 23:40:00,0
1,2020-04-07 00:00:00,0
1,2020-04-07 00:55:00,1
1,2020-04-07 01:05:00,0
1,2020-04-07 01:10:00,1
1,2020-04-07 01:15:00,0
1,2020-04-07 01:35:00,1
1,2020-04-07 01:50:00,0
1,2020-04-07 02:00:00,0
1,2020-04-07 02:45:00,1
1,2020-04-07 02:50:00,0
1,2020-04-07 02:55:00,0
1,2020-04-07 03:15:00,0
1,2020-04-07 03:50:00,0
1,2020-04-07 04:35:00,1
1,2020-04-07 04:50:00,0
1,2020-04-07 04:55:00,1
1,2020-04-07 05:20:00,0
1,2020-04-07 05:25:00,0
1,2020-04-07 05:50:00,0
1,2020-04-07 06:25:00,0
1,2020-04-07 06:30:00,0
1,2020-04-07 07:10:00,0
1,2020-04-07 07:25:00,1
1,2020-04-07 07:35:00,1
1,2020-04-07 07:45:00,1
1,2020-04-07 07:50:00,0
1,2020-04-07 08:25:00,1
1,2020-04-07 08:45:00,0
1,2020-04-07 08:50:00,1
1,2020-04-07 09:20:00,0
1,2020-04-07 09:50:00,0
1,2020-04-07 09:55:00,0
1,2020-04-07 10:00:00,0
1,2020-04-07 10:45:00,0
1,2020-04-07 10:50:00,1
1,2020-04-07 11:05:00,0
1,2020-04-07 11:10:00,0
1,2020-04-07 11:30:00,1
1,2020-04-07 11:40:00,0
1,2020-04-07 11:50:00,0
1,2020-04-07 12:10:00,1
1,2020-04-07 12:50:00,0
1,2020-04-07 13:25:00,0
1,2020-04-07 13:50:00,0
1,2020-04-07 14:10:00,1
1,2020-04-07 14:15:00,0
1,2020-04-07 14:25:00,0
1,2020-04-07 15:20:00,1
1,2020-04-07 16:00:00,0
1,2020-04-07 16:35:00,0
1,2020-04-07 17:25:00,0
1,2020-04-07 17:40:00,0
1,2020-04-07 18:40:00,0
1,2020-04-07 19:10:00,0
1,2020-04-07 19:40:00,0
1,2020-04-07 20:05:00,1
1,2020-04-07 20:15:00,1
1,2020-04-07 20:30:00,1
1,2020-04-07 20:50:00,0
1,2020-04-07 20:55:00,1
1,2020-04-07 21:20:00,0
1,2020-04-07 21:35:00,0
1,2020-04-07 22:00:00,0
1,2020-04-07 23:05:00,1
1,2020-04-07 23:30:00,0
1,2020-04-07 23:35:00,0
1,2020-04-07 23:45:00,1
1,2020-04-07 23:55:00,0
1,2020-04-08 00:50:00,1
1,2020-04-08 01:45:00,1
1,2020-04-08 02:30:00,0
1,2020-04-08 02:50:00,0
1,2020-04-08 03:00:00,0
1,2020-04-08 03:25:00,0
1,2020-04-08 03:40:00,0
1,2020-04-08 03:45:00,1
1,2020-04-08 04:10:00,1
1,2020-04-08 04:20:00,0
1,2020-04-08 04:25:00,0
1,2020-04-08 04:30:00,1
1,2020-04-08 04:40:00,1
1,2020-04-08 05:40:00,1
1,2020-04-08 06:25:00,0
1,2020-04-08 06:45:00,0
1,2020-04-08 06:50:00,1
1,2020-04-08 07:00:00,0
1,2020-04-08 07:10:00,0
1,2020-04-08 07:25:00,0
1,2020-04-08 07:40:00,1
1,2020-04-08 07:55:00,0
1,2020-04-08 08:15:00,0
1,2020-04-08 08:35:00,19
1,2020-04-08 08:40:00,43
1,2020-04-08 08:45:00,66
1,2020-04-08 08:50:00,44
1,2020-04-08 08:55:00,47
1,2020-04-08 09:00:00,43
1,2020-04-08 09:05:00,25
1,2020-04-08 09:10:00,40
1,2020-04-08 09:15:00,27
1,2020-04-08 09:20:00,26
1,2020-04-08 09:25:00,18
1,2020-04-08 09:30:00,20
1,2020-04-08 09:35:00,22
1,2020-04-08 09:40:00,22
1,2020-04-08 09:45:00,20
1,2020-04-08 09:50:00,9
1,2020-04-08 09:55:00,18
1,2020-04-08 10:00:00,13
1,2020-04-08 10:05:00,21
1,2020-04-08 10:10:00,11
1,2020-04-08 10:15:00,8
1,2020-04-08 10:20:00,0
1,2020-04-08 10:25:00,0
1,2020-04-08 10:30:00,0
1,2020-04-08 10:35:00,0
1,2020-04-08 10:40:00,0
1,2020-04-08 10:45:00,0
1,2020-04-08 10:50:00,0
1,2020-04-08 10:55:00,0
1,2020-04-08 11:00:00,0
1,2020-04-08 11:05:00,0
1,2020-04-08 11:10:00,0
1,2020-04-08 11:15:00,0
1,2020-04-08 11:20:00,0
1,2020-04-08 11:25:00,0
1,2020-04-08 11:30:00,0
1,2020-04-08 11:35:00,0
1,2020-04-08 11:40:00,1
1,2020-04-08 11:45:00,0
1,2020-04-08 11:50:00,0
1,2020-04-08 11:55:00,0
1,2020-04-08 12:00:00,0
1,2020-04-08 12:05:00,0
1,2020-04-08 12:10:00,0
1,2020-04-08 12:15:00,0
1,2020-04-08 12:20:00,0
1,2020-04-08 12:30:00,0
1,2020-04-08 12:35:00,0
1,2020-04-08 12:40:00,0
1,2020-04-08 12:45:00,0
1,2020-04-08 12:50:00,0
1,2020-04-08 12:55:00,0
1,2020-04-08 13:00:00,0
1,2020-04-08 13:05:00,0
1,2020-04-08 13:10:00,0
1,2020-04-08 13:15:00,0
1,2020-04-08 13:20:00,1
1,2020-04-08 13:35:00,0
1,2020-04-08 13:40:00,0
1,2020-04-08 13:45:00,0
1,2020-04-08 13:50:00,0
1,2020-04-08 13:55:00,0
1,2020-04-08 14:00:00,0
1,2020-04-08 14:05:00,0
1,2020-04-08 14:10:00,0
1,2020-04-08 14:15:00,0
1,2020-04-08 14:25:00,0
1,2020-04-08 14:30:00,1
1,2020-04-08 14:35:00,0
1,2020-04-08 14:40:00,0
1,2020-04-08 14:45:00,0
1,2020-04-08 15:10:00,0
1,2020-04-08 15:30:00,0
1,2020-04-08 15:40:00,0
1,2020-04-08 15:50:00,0
1,2020-04-08 16:05:00,0
1,2020-04-08 16:15:00,0
1,2020-04-08 16:20:00,1
